# Program:featureCounts v2.0.6; Command:"featureCounts" "-s" "1" "-M" "-Q" "20" "-T" "5" "-t" "gene" "-g" "gene_id" "-a" "../ref/true_genes_only.gtf" "-o" "../data08/feature/A02-bowtie1.txt" "../data08/bowtie/A02-bowtie1.txt" 
Geneid	Chr	Start	End	Strand	Length	../data08/bowtie/A02-bowtie1.txt
BW25113_RS05380	NZ_CP009273.1	1094335	1095072	+	738	155
BW25113_RS05385	NZ_CP009273.1	1095096	1095650	+	555	288
BW25113_RS05390	NZ_CP009273.1	1095752	1096243	+	492	239
BW25113_RS05395	NZ_CP009273.1	1096307	1097140	-	834	3
BW25113_RS05400	NZ_CP009273.1	1097167	1097583	-	417	1
BW25113_RS05405	NZ_CP009273.1	1097608	1097997	-	390	0
BW25113_RS05410	NZ_CP009273.1	1098002	1098652	-	651	4
BW25113_RS05420	NZ_CP009273.1	1099407	1099862	+	456	0
BW25113_RS05425	NZ_CP009273.1	1099903	1100358	+	456	18
BW25113_RS05430	NZ_CP009273.1	1100417	1100749	+	333	0
BW25113_RS05435	NZ_CP009273.1	1100870	1101181	+	312	3
BW25113_RS05440	NZ_CP009273.1	1101276	1101809	+	534	82
BW25113_RS05445	NZ_CP009273.1	1101751	1103232	+	1482	22
BW25113_RS05450	NZ_CP009273.1	1103240	1104397	-	1158	12
BW25113_RS05465	NZ_CP009273.1	1104791	1106326	+	1536	850
BW25113_RS05470	NZ_CP009273.1	1106319	1108862	+	2544	294
BW25113_RS05475	NZ_CP009273.1	1109035	1109262	+	228	4
BW25113_RS05480	NZ_CP009273.1	1109263	1109637	-	375	255
BW25113_RS05490	NZ_CP009273.1	1109720	1110946	-	1227	1
BW25113_RS05495	NZ_CP009273.1	1111118	1112038	-	921	117
BW25113_RS05500	NZ_CP009273.1	1112263	1113315	+	1053	68
BW25113_RS05505	NZ_CP009273.1	1113357	1113932	-	576	89
BW25113_RS05510	NZ_CP009273.1	1113936	1114502	-	567	4
BW25113_RS05515	NZ_CP009273.1	1114763	1114876	-	114	1
BW25113_RS05520	NZ_CP009273.1	1114924	1116042	-	1119	354
BW25113_RS05525	NZ_CP009273.1	1116157	1116411	-	255	252
BW25113_RS05530	NZ_CP009273.1	1116698	1116943	-	246	65
BW25113_RS05535	NZ_CP009273.1	1117017	1118063	-	1047	147
BW25113_RS05540	NZ_CP009273.1	1118169	1118729	-	561	89
BW25113_RS05545	NZ_CP009273.1	1118863	1119510	-	648	554
BW25113_RS05550	NZ_CP009273.1	1119574	1120782	-	1209	6
BW25113_RS05555	NZ_CP009273.1	1121018	1121602	+	585	226
BW25113_RS05560	NZ_CP009273.1	1121613	1122260	+	648	623
BW25113_RS05565	NZ_CP009273.1	1122262	1123185	+	924	80
BW25113_RS05570	NZ_CP009273.1	1123295	1124830	+	1536	43
BW25113_RS05575	NZ_CP009273.1	1124870	1125286	-	417	18
BW25113_RS05580	NZ_CP009273.1	1125291	1125584	-	294	30
BW25113_RS05585	NZ_CP009273.1	1125660	1126319	-	660	55
BW25113_RS05590	NZ_CP009273.1	1126474	1126890	+	417	121
BW25113_RS05595	NZ_CP009273.1	1126894	1127298	+	405	110
BW25113_RS05600	NZ_CP009273.1	1127310	1128005	+	696	150
BW25113_RS05605	NZ_CP009273.1	1128030	1129238	+	1209	368
BW25113_RS05610	NZ_CP009273.1	1129258	1130013	+	756	66
BW25113_RS05615	NZ_CP009273.1	1130185	1130967	+	783	82
BW25113_RS05620	NZ_CP009273.1	1131020	1131718	+	699	12
BW25113_RS05625	NZ_CP009273.1	1131730	1132827	+	1098	23
BW25113_RS05630	NZ_CP009273.1	1132827	1133768	+	942	13
BW25113_RS05635	NZ_CP009273.1	1133834	1135477	+	1644	21
BW25113_RS05640	NZ_CP009273.1	1135489	1136442	+	954	45
BW25113_RS05645	NZ_CP009273.1	1136638	1139823	-	3186	2096
BW25113_RS05655	NZ_CP009273.1	1140396	1141355	+	960	181
BW25113_RS05660	NZ_CP009273.1	1141467	1142051	-	585	122
BW25113_RS05665	NZ_CP009273.1	1142250	1142771	+	522	337
BW25113_RS05670	NZ_CP009273.1	1142823	1142996	+	174	3625
BW25113_RS05675	NZ_CP009273.1	1143077	1144147	+	1071	397
BW25113_RS05680	NZ_CP009273.1	1144215	1145168	+	954	910
BW25113_RS05685	NZ_CP009273.1	1145184	1146113	+	930	2354
BW25113_RS05690	NZ_CP009273.1	1146126	1146860	+	735	3416
BW25113_RS05695	NZ_CP009273.1	1147071	1147307	+	237	15882
BW25113_RS05700	NZ_CP009273.1	1147395	1148636	+	1242	1750
BW25113_RS05705	NZ_CP009273.1	1148756	1149565	+	810	37
BW25113_RS05710	NZ_CP009273.1	1149568	1150590	+	1023	38
BW25113_RS05715	NZ_CP009273.1	1150580	1151221	+	642	65
BW25113_RS05720	NZ_CP009273.1	1151218	1152222	+	1005	32
BW25113_RS05725	NZ_CP009273.1	1152233	1153030	+	798	81
BW25113_RS05730	NZ_CP009273.1	1153325	1154758	+	1434	1316
BW25113_RS05735	NZ_CP009273.1	1154818	1157007	-	2190	328
BW25113_RS05740	NZ_CP009273.1	1157341	1157700	+	360	796
BW25113_RS05745	NZ_CP009273.1	1157703	1158080	+	378	49
BW25113_RS05750	NZ_CP009273.1	1158094	1158735	+	642	336
BW25113_RS05755	NZ_CP009273.1	1158716	1159540	+	825	12
BW25113_RS05760	NZ_CP009273.1	1159551	1160576	+	1026	267
BW25113_RS05765	NZ_CP009273.1	1160599	1161141	+	543	697
BW25113_RS05770	NZ_CP009273.1	1161541	1162845	+	1305	584
BW25113_RS05775	NZ_CP009273.1	1163055	1163594	+	540	128
BW25113_RS05780	NZ_CP009273.1	1163656	1164288	-	633	51
BW25113_RS05785	NZ_CP009273.1	1164529	1164786	+	258	16
BW25113_RS05790	NZ_CP009273.1	1164868	1165830	-	963	63
BW25113_RS05795	NZ_CP009273.1	1165974	1169420	-	3447	1051
BW25113_RS05800	NZ_CP009273.1	1169548	1170621	-	1074	4
BW25113_RS05805	NZ_CP009273.1	1170883	1172082	+	1200	115
BW25113_RS05810	NZ_CP009273.1	1172075	1172776	+	702	115
BW25113_RS05815	NZ_CP009273.1	1172776	1174020	+	1245	91
BW25113_RS05820	NZ_CP009273.1	1174049	1174960	+	912	87
BW25113_RS05825	NZ_CP009273.1	1174976	1175815	+	840	294
BW25113_RS05830	NZ_CP009273.1	1175935	1176723	-	789	8
BW25113_RS05835	NZ_CP009273.1	1176720	1177181	-	462	1
BW25113_RS05840	NZ_CP009273.1	1177239	1178285	-	1047	828
BW25113_RS05845	NZ_CP009273.1	1178282	1179076	-	795	35
BW25113_RS05850	NZ_CP009273.1	1179073	1179930	-	858	33
BW25113_RS05855	NZ_CP009273.1	1179914	1181050	-	1137	91
BW25113_RS05865	NZ_CP009273.1	1181300	1182526	+	1227	622
BW25113_RS05870	NZ_CP009273.1	1182575	1183696	-	1122	434
BW25113_RS05875	NZ_CP009273.1	1183772	1185232	-	1461	76
BW25113_RS05880	NZ_CP009273.1	1185232	1185903	-	672	961
BW25113_RS05885	NZ_CP009273.1	1186072	1187442	-	1371	372
BW25113_RS05890	NZ_CP009273.1	1187446	1188087	-	642	56
BW25113_RS05895	NZ_CP009273.1	1188123	1189229	-	1107	171
BW25113_RS05900	NZ_CP009273.1	1189283	1189744	-	462	31
BW25113_RS05905	NZ_CP009273.1	1189754	1190407	-	654	34
BW25113_RS05910	NZ_CP009273.1	1190579	1191829	+	1251	12335
BW25113_RS05915	NZ_CP009273.1	1192323	1192988	-	666	21
BW25113_RS05920	NZ_CP009273.1	1192989	1193693	-	705	61
BW25113_RS05925	NZ_CP009273.1	1194151	1195044	+	894	52
BW25113_RS05930	NZ_CP009273.1	1195135	1196262	-	1128	3
BW25113_RS05935	NZ_CP009273.1	1196243	1196488	-	246	0
BW25113_RS25530	NZ_CP009273.1	1196525	1196836	-	312	0
BW25113_RS23630	NZ_CP009273.1	1196953	1197294	+	342	103
BW25113_RS05940	NZ_CP009273.1	1197232	1197540	-	309	2
BW25113_RS05945	NZ_CP009273.1	1197715	1198389	-	675	114
BW25113_RS05950	NZ_CP009273.1	1198480	1198680	+	201	0
BW25113_RS05955	NZ_CP009273.1	1198724	1199281	+	558	6
BW25113_RS23635	NZ_CP009273.1	1199457	1199636	+	180	2
BW25113_RS26340	NZ_CP009273.1	1199677	1199841	+	165	0
BW25113_RS05965	NZ_CP009273.1	1199857	1200993	+	1137	6
BW25113_RS05970	NZ_CP009273.1	1201005	1201187	+	183	0
BW25113_RS05975	NZ_CP009273.1	1201187	1201594	+	408	1
BW25113_RS05980	NZ_CP009273.1	1201593	1202378	+	786	0
BW25113_RS05985	NZ_CP009273.1	1202369	1202953	+	585	0
BW25113_RS05990	NZ_CP009273.1	1202957	1203586	+	630	0
BW25113_RS05995	NZ_CP009273.1	1203588	1204001	+	414	0
BW25113_RS06000	NZ_CP009273.1	1203973	1204575	-	603	6
BW25113_RS06005	NZ_CP009273.1	1204575	1205111	-	537	1
BW25113_RS06010	NZ_CP009273.1	1205141	1205695	+	555	6
BW25113_RS06015	NZ_CP009273.1	1205802	1206635	+	834	73
BW25113_RS23640	NZ_CP009273.1	1206866	1207033	+	168	52
BW25113_RS06020	NZ_CP009273.1	1207136	1207459	-	324	3
BW25113_RS25985	NZ_CP009273.1	1207716	1207760	-	45	0
BW25113_RS25535	NZ_CP009273.1	1207996	1208106	-	111	3
BW25113_RS06030	NZ_CP009273.1	1208159	1208563	-	405	19
BW25113_RS06035	NZ_CP009273.1	1208784	1209515	-	732	94
BW25113_RS06040	NZ_CP009273.1	1209720	1210931	-	1212	16
BW25113_RS06045	NZ_CP009273.1	1211245	1211481	+	237	56
BW25113_RS06050	NZ_CP009273.1	1211524	1211796	+	273	8
BW25113_RS06055	NZ_CP009273.1	1211825	1212091	+	267	35
BW25113_RS06060	NZ_CP009273.1	1212204	1212452	+	249	14
BW25113_RS06065	NZ_CP009273.1	1212784	1214307	+	1524	4
BW25113_RS06070	NZ_CP009273.1	1214439	1214657	+	219	29
BW25113_RS25990	NZ_CP009273.1	1215057	1217704	+	2648	5
BW25113_RS06090	NZ_CP009273.1	1217761	1218096	-	336	21
BW25113_RS06095	NZ_CP009273.1	1218100	1218444	-	345	22
BW25113_RS06100	NZ_CP009273.1	1218446	1218619	-	174	0
BW25113_RS23645	NZ_CP009273.1	1218720	1218905	+	186	0
BW25113_RS25540	NZ_CP009273.1	1218866	1218985	+	120	0
BW25113_RS06105	NZ_CP009273.1	1219020	1219363	+	344	1
BW25113_RS06110	NZ_CP009273.1	1219735	1220001	-	267	681
BW25113_RS06115	NZ_CP009273.1	1220005	1220817	-	813	2864
BW25113_RS06120	NZ_CP009273.1	1220841	1221536	-	696	228
BW25113_RS06125	NZ_CP009273.1	1222056	1222424	+	369	119
BW25113_RS06130	NZ_CP009273.1	1222527	1222928	-	402	210
BW25113_RS06140	NZ_CP009273.1	1223170	1223463	+	294	231
BW25113_RS06145	NZ_CP009273.1	1223535	1224194	+	660	249
BW25113_RS06150	NZ_CP009273.1	1224286	1224732	+	447	51
BW25113_RS06155	NZ_CP009273.1	1224939	1225850	-	912	2
BW25113_RS06160	NZ_CP009273.1	1226223	1226642	+	420	6
BW25113_RS06165	NZ_CP009273.1	1226642	1227910	+	1269	8
BW25113_RS06170	NZ_CP009273.1	1227956	1228486	-	531	204
BW25113_RS06175	NZ_CP009273.1	1228632	1230173	-	1542	205
BW25113_RS06180	NZ_CP009273.1	1230394	1231113	+	720	263
BW25113_RS06185	NZ_CP009273.1	1231165	1232697	-	1533	68
BW25113_RS06190	NZ_CP009273.1	1233027	1234325	+	1299	2661
BW25113_RS06195	NZ_CP009273.1	1234335	1235405	+	1071	747
BW25113_RS06200	NZ_CP009273.1	1235791	1237527	-	1737	44
BW25113_RS06205	NZ_CP009273.1	1237622	1238536	-	915	95
BW25113_RS06210	NZ_CP009273.1	1238636	1239247	+	612	175
BW25113_RS06215	NZ_CP009273.1	1239249	1239983	-	735	4
BW25113_RS06220	NZ_CP009273.1	1240184	1240438	+	255	17
BW25113_RS06225	NZ_CP009273.1	1240616	1241056	+	441	4
BW25113_RS06230	NZ_CP009273.1	1241135	1242832	-	1698	103
BW25113_RS06235	NZ_CP009273.1	1243152	1244570	-	1419	1029
BW25113_RS06240	NZ_CP009273.1	1244581	1245213	-	633	782
BW25113_RS06245	NZ_CP009273.1	1245224	1246294	-	1071	1363
BW25113_RS06250	NZ_CP009273.1	1246522	1248441	+	1920	53
BW25113_RS06255	NZ_CP009273.1	1248541	1251408	-	2868	4
BW25113_RS06265	NZ_CP009273.1	1252177	1253268	-	1092	709
BW25113_RS06270	NZ_CP009273.1	1253385	1253969	-	585	88
BW25113_RS06275	NZ_CP009273.1	1254247	1254525	+	279	495
BW25113_RS06280	NZ_CP009273.1	1254580	1256259	-	1680	30
BW25113_RS06285	NZ_CP009273.1	1256384	1257331	-	948	769
BW25113_RS06290	NZ_CP009273.1	1257482	1258333	-	852	99
BW25113_RS06295	NZ_CP009273.1	1258333	1258956	-	624	223
BW25113_RS06300	NZ_CP009273.1	1259170	1260426	+	1257	87
BW25113_RS06305	NZ_CP009273.1	1260468	1261550	+	1083	130
BW25113_RS06310	NZ_CP009273.1	1261550	1262383	+	834	19
BW25113_RS06315	NZ_CP009273.1	1262380	1262772	+	393	3
BW25113_RS06320	NZ_CP009273.1	1262776	1263585	+	810	63
BW25113_RS06325	NZ_CP009273.1	1263621	1264475	+	855	991
BW25113_RS06330	NZ_CP009273.1	1264624	1264731	-	108	0
BW25113_RS06335	NZ_CP009273.1	1265159	1265266	-	108	0
BW25113_RS06340	NZ_CP009273.1	1265694	1265801	-	108	0
BW25113_RS06345	NZ_CP009273.1	1266205	1267305	-	1101	151
BW25113_RS06350	NZ_CP009273.1	1267575	1267805	+	231	23
BW25113_RS06355	NZ_CP009273.1	1267963	1268658	+	696	7
BW25113_RS06360	NZ_CP009273.1	1268702	1269055	-	354	904
BW25113_RS06365	NZ_CP009273.1	1269240	1270634	+	1395	11
BW25113_RS06370	NZ_CP009273.1	1270635	1271285	-	651	585
BW25113_RS06375	NZ_CP009273.1	1271278	1273074	-	1797	81
BW25113_RS06385	NZ_CP009273.1	1273413	1274804	+	1392	1619
BW25113_RS06390	NZ_CP009273.1	1275320	1279063	+	3744	2627
BW25113_RS06395	NZ_CP009273.1	1279060	1280598	+	1539	214
BW25113_RS06400	NZ_CP009273.1	1280595	1281305	+	711	23
BW25113_RS06405	NZ_CP009273.1	1281305	1281982	+	678	48
BW25113_RS06425	NZ_CP009273.1	1283238	1284080	-	843	465
BW25113_RS06430	NZ_CP009273.1	1284130	1284588	-	459	107
BW25113_RS06435	NZ_CP009273.1	1284701	1285606	+	906	69
BW25113_RS06440	NZ_CP009273.1	1285698	1286711	+	1014	53
BW25113_RS06445	NZ_CP009273.1	1286913	1287821	+	909	2036
BW25113_RS06450	NZ_CP009273.1	1287965	1288378	-	414	10311
BW25113_RS06455	NZ_CP009273.1	1288983	1289600	+	618	186
BW25113_RS06460	NZ_CP009273.1	1289882	1290472	-	591	1
BW25113_RS26465	NZ_CP009273.1	1290520	1290778	-	259	2
BW25113_RS06470	NZ_CP009273.1	1290902	1293577	-	2676	7903
BW25113_RS26110	NZ_CP009273.1	1293970	1294023	+	54	4
BW25113_RS06475	NZ_CP009273.1	1294054	1294701	+	648	16
BW25113_RS25865	NZ_CP009273.1	1294859	1295155	-	297	0
BW25113_RS06480	NZ_CP009273.1	1295439	1297070	+	1632	3928
BW25113_RS06485	NZ_CP009273.1	1297156	1298076	+	921	315
BW25113_RS06490	NZ_CP009273.1	1298091	1298999	+	909	367
BW25113_RS06495	NZ_CP009273.1	1299011	1300024	+	1014	603
BW25113_RS06500	NZ_CP009273.1	1300021	1301025	+	1005	626
BW25113_RS06505	NZ_CP009273.1	1301078	1301407	-	330	159
BW25113_RS06510	NZ_CP009273.1	1301442	1302902	-	1461	201
BW25113_RS25550	NZ_CP009273.1	1303045	1303218	+	174	85
BW25113_RS06520	NZ_CP009273.1	1303273	1304526	-	1254	118
BW25113_RS06525	NZ_CP009273.1	1304826	1305122	-	297	1204
BW25113_RS06530	NZ_CP009273.1	1305346	1306065	+	720	329
BW25113_RS06535	NZ_CP009273.1	1306105	1306503	-	399	85
BW25113_RS06540	NZ_CP009273.1	1306608	1307147	-	540	71
BW25113_RS06545	NZ_CP009273.1	1307177	1307920	-	744	113
BW25113_RS25555	NZ_CP009273.1	1307948	1308037	-	90	0
BW25113_RS06550	NZ_CP009273.1	1308277	1308915	+	639	594
BW25113_RS06555	NZ_CP009273.1	1308975	1309481	-	507	17
BW25113_RS06560	NZ_CP009273.1	1309527	1310027	-	501	6
BW25113_RS06565	NZ_CP009273.1	1310113	1310292	-	180	7
BW25113_RS06570	NZ_CP009273.1	1310673	1311479	-	807	200
BW25113_RS06575	NZ_CP009273.1	1311479	1312672	-	1194	222
BW25113_RS06580	NZ_CP009273.1	1312684	1314045	-	1362	53
BW25113_RS06585	NZ_CP009273.1	1314046	1315641	-	1596	6
BW25113_RS06590	NZ_CP009273.1	1315641	1317203	-	1563	5
BW25113_RS23700	NZ_CP009273.1	1317295	1317339	-	45	4
BW25113_RS06595	NZ_CP009273.1	1317477	1318358	+	882	25
BW25113_RS06600	NZ_CP009273.1	1318355	1318975	+	621	314
BW25113_RS06605	NZ_CP009273.1	1319003	1320898	+	1896	16
BW25113_RS06610	NZ_CP009273.1	1321109	1321984	+	876	148
BW25113_RS06615	NZ_CP009273.1	1322024	1322614	-	591	109
BW25113_RS06620	NZ_CP009273.1	1322611	1323369	-	759	242
BW25113_RS06630	NZ_CP009273.1	1323589	1324638	+	1050	271
BW25113_RS06635	NZ_CP009273.1	1324674	1324925	-	252	607
BW25113_RS06645	NZ_CP009273.1	1325305	1327902	+	2598	1513
BW25113_RS06650	NZ_CP009273.1	1328112	1329086	+	975	415
BW25113_RS06655	NZ_CP009273.1	1329405	1329545	+	141	18
BW25113_RS06660	NZ_CP009273.1	1329548	1329715	+	168	11
BW25113_RS25560	NZ_CP009273.1	1329829	1329924	+	96	3
BW25113_RS06675	NZ_CP009273.1	1330088	1332763	+	2676	761
BW25113_RS06680	NZ_CP009273.1	1332827	1333417	-	591	237
BW25113_RS06685	NZ_CP009273.1	1333587	1334351	+	765	42
BW25113_RS06690	NZ_CP009273.1	1334500	1334808	+	309	222
BW25113_RS06695	NZ_CP009273.1	1334815	1335984	+	1170	85
BW25113_RS06700	NZ_CP009273.1	1336178	1336915	+	738	115
BW25113_RS06705	NZ_CP009273.1	1336915	1337241	+	327	30
BW25113_RS06710	NZ_CP009273.1	1337367	1337585	-	219	483
BW25113_RS06715	NZ_CP009273.1	1337854	1338603	-	750	203
BW25113_RS06720	NZ_CP009273.1	1338693	1338866	-	174	33
BW25113_RS26115	NZ_CP009273.1	1338904	1339032	+	129	7
BW25113_RS06725	NZ_CP009273.1	1339014	1340999	-	1986	53
BW25113_RS25050	NZ_CP009273.1	1341053	1341157	+	105	1
BW25113_RS06735	NZ_CP009273.1	1341235	1343169	-	1935	542
BW25113_RS06740	NZ_CP009273.1	1343237	1344364	-	1128	1
BW25113_RS06745	NZ_CP009273.1	1344508	1345296	-	789	3388
BW25113_RS06755	NZ_CP009273.1	1345664	1346017	-	354	1
BW25113_RS06760	NZ_CP009273.1	1346085	1346891	-	807	58
BW25113_RS06765	NZ_CP009273.1	1346893	1347885	-	993	53
BW25113_RS06770	NZ_CP009273.1	1347885	1348775	-	891	29
BW25113_RS06775	NZ_CP009273.1	1348762	1349727	-	966	35
BW25113_RS06780	NZ_CP009273.1	1349724	1351367	-	1644	66
BW25113_RS06790	NZ_CP009273.1	1351680	1351925	-	246	36
BW25113_RS06795	NZ_CP009273.1	1352059	1353444	-	1386	2
BW25113_RS25565	NZ_CP009273.1	1353434	1353598	-	165	4
BW25113_RS06800	NZ_CP009273.1	1353747	1355165	-	1419	67
BW25113_RS06805	NZ_CP009273.1	1355377	1356141	+	765	25
BW25113_RS06810	NZ_CP009273.1	1356168	1356725	+	558	57
BW25113_RS06815	NZ_CP009273.1	1357000	1358487	+	1488	4
BW25113_RS06820	NZ_CP009273.1	1358489	1359769	+	1281	6
BW25113_RS06825	NZ_CP009273.1	1359807	1361072	+	1266	5
BW25113_RS06830	NZ_CP009273.1	1361192	1362169	-	978	71
BW25113_RS06835	NZ_CP009273.1	1362336	1363004	+	669	265
BW25113_RS06840	NZ_CP009273.1	1363058	1363282	+	225	62
BW25113_RS06845	NZ_CP009273.1	1363282	1363641	+	360	47
BW25113_RS06850	NZ_CP009273.1	1363650	1363871	+	222	9
BW25113_RS06855	NZ_CP009273.1	1363946	1364260	+	315	1009
BW25113_RS06860	NZ_CP009273.1	1364473	1366152	+	1680	28
BW25113_RS06865	NZ_CP009273.1	1366166	1367458	+	1293	50
BW25113_RS06870	NZ_CP009273.1	1367479	1368360	+	882	9
BW25113_RS06875	NZ_CP009273.1	1368347	1369189	+	843	3
BW25113_RS06880	NZ_CP009273.1	1369220	1370272	+	1053	38
BW25113_RS06885	NZ_CP009273.1	1370291	1371079	+	789	27
BW25113_RS06890	NZ_CP009273.1	1371089	1372144	+	1056	1
BW25113_RS06895	NZ_CP009273.1	1372141	1374408	+	2268	9
BW25113_RS06900	NZ_CP009273.1	1374405	1375064	+	660	1
BW25113_RS06905	NZ_CP009273.1	1375078	1376159	+	1082	9
BW25113_RS06910	NZ_CP009273.1	1376204	1377109	+	906	5
BW25113_RS06915	NZ_CP009273.1	1377220	1378218	-	999	43
BW25113_RS06920	NZ_CP009273.1	1378374	1379771	+	1398	334
BW25113_RS06925	NZ_CP009273.1	1379768	1380829	+	1062	366
BW25113_RS06930	NZ_CP009273.1	1380977	1382518	+	1542	417
BW25113_RS06935	NZ_CP009273.1	1382562	1383068	-	507	8065
BW25113_RS06940	NZ_CP009273.1	1383187	1384152	+	966	73
BW25113_RS06945	NZ_CP009273.1	1384127	1384855	-	729	57
BW25113_RS06950	NZ_CP009273.1	1384982	1385119	-	138	1
BW25113_RS06955	NZ_CP009273.1	1385190	1386110	-	921	29
BW25113_RS06960	NZ_CP009273.1	1386248	1387147	+	900	51
BW25113_RS06970	NZ_CP009273.1	1387484	1389097	+	1614	352
BW25113_RS06975	NZ_CP009273.1	1389148	1390179	-	1032	52
BW25113_RS06980	NZ_CP009273.1	1390369	1391349	+	981	514
BW25113_RS06985	NZ_CP009273.1	1391622	1391879	+	258	1268
BW25113_RS06990	NZ_CP009273.1	1391929	1392879	-	951	1092
BW25113_RS06995	NZ_CP009273.1	1393031	1393783	-	753	828
BW25113_RS07000	NZ_CP009273.1	1393978	1394493	-	516	73
BW25113_RS07005	NZ_CP009273.1	1394504	1396030	-	1527	4
BW25113_RS07015	NZ_CP009273.1	1396067	1397512	-	1446	9
BW25113_RS07020	NZ_CP009273.1	1397512	1398822	-	1311	10
BW25113_RS07025	NZ_CP009273.1	1398998	1399906	+	909	38
BW25113_RS07035	NZ_CP009273.1	1400236	1400799	+	564	40
BW25113_RS07040	NZ_CP009273.1	1400820	1402052	-	1233	43
BW25113_RS26120	NZ_CP009273.1	1402246	1402293	+	48	3
BW25113_RS07045	NZ_CP009273.1	1402307	1403290	+	984	218
BW25113_RS26345	NZ_CP009273.1	1403565	1403738	+	174	14
BW25113_RS07055	NZ_CP009273.1	1403768	1405141	+	1374	9
BW25113_RS07060	NZ_CP009273.1	1405270	1406205	-	936	209
BW25113_RS23720	NZ_CP009273.1	1406257	1407492	-	1236	1
BW25113_RS07070	NZ_CP009273.1	1407494	1407709	-	216	0
BW25113_RS07075	NZ_CP009273.1	1407788	1407997	-	210	2
BW25113_RS07080	NZ_CP009273.1	1407990	1408184	-	195	1
BW25113_RS07085	NZ_CP009273.1	1408241	1409050	-	810	20
BW25113_RS07090	NZ_CP009273.1	1409043	1411643	-	2601	15
BW25113_RS07095	NZ_CP009273.1	1411745	1412020	-	276	2
BW25113_RS07100	NZ_CP009273.1	1412095	1412265	-	171	0
BW25113_RS07105	NZ_CP009273.1	1412265	1412486	-	222	0
BW25113_RS07110	NZ_CP009273.1	1412928	1413416	+	489	8
BW25113_RS23000	NZ_CP009273.1	1413413	1413568	-	156	0
BW25113_RS26350	NZ_CP009273.1	1413579	1413713	-	135	4
BW25113_RS07115	NZ_CP009273.1	1414022	1414498	-	477	75
BW25113_RS07120	NZ_CP009273.1	1414622	1414918	+	297	4
BW25113_RS07125	NZ_CP009273.1	1414941	1415363	+	423	7
BW25113_RS07130	NZ_CP009273.1	1415376	1416233	+	858	0
BW25113_RS07135	NZ_CP009273.1	1416240	1416986	+	747	1
BW25113_RS07140	NZ_CP009273.1	1417009	1417461	+	453	9
BW25113_RS26355	NZ_CP009273.1	1417657	1417842	+	186	0
BW25113_RS07150	NZ_CP009273.1	1418039	1419496	+	1458	16
BW25113_RS07155	NZ_CP009273.1	1419634	1419897	+	264	1
BW25113_RS07160	NZ_CP009273.1	1419878	1420237	+	360	0
BW25113_RS26470	NZ_CP009273.1	1420345	1420545	+	201	0
BW25113_RS07170	NZ_CP009273.1	1420711	1421643	+	933	0
BW25113_RS07175	NZ_CP009273.1	1421646	1421861	+	216	0
BW25113_RS26475	NZ_CP009273.1	1421773	1422021	-	249	0
BW25113_RS07180	NZ_CP009273.1	1422003	1422983	-	981	18
BW25113_RS25065	NZ_CP009273.1	1423053	1423241	+	189	0
BW25113_RS23745	NZ_CP009273.1	1423306	1426668	+	3363	2
BW25113_RS07205	NZ_CP009273.1	1426668	1427243	+	576	5
BW25113_RS07210	NZ_CP009273.1	1427341	1427931	-	591	2
BW25113_RS07215	NZ_CP009273.1	1428248	1428481	-	234	0
BW25113_RS25575	NZ_CP009273.1	1428550	1428663	-	114	0
BW25113_RS07220	NZ_CP009273.1	1429442	1429876	-	435	543
BW25113_RS07225	NZ_CP009273.1	1430017	1431150	-	1134	218
BW25113_RS07230	NZ_CP009273.1	1431517	1435041	-	3525	422
BW25113_RS07235	NZ_CP009273.1	1435315	1435581	+	267	342
BW25113_RS07240	NZ_CP009273.1	1435578	1436000	-	423	66
BW25113_RS07245	NZ_CP009273.1	1436111	1437100	-	990	1845
BW25113_RS07250	NZ_CP009273.1	1437308	1439947	+	2640	35
BW25113_RS07255	NZ_CP009273.1	1439944	1440129	+	186	15
BW25113_RS07260	NZ_CP009273.1	1440137	1440463	+	327	18
BW25113_RS07265	NZ_CP009273.1	1440635	1441540	-	906	34
BW25113_RS07270	NZ_CP009273.1	1441776	1443275	+	1500	27
BW25113_RS07275	NZ_CP009273.1	1443333	1445606	-	2274	9
BW25113_RS07280	NZ_CP009273.1	1445854	1447899	-	2046	8
BW25113_RS07285	NZ_CP009273.1	1448184	1449113	+	930	25
BW25113_RS07290	NZ_CP009273.1	1449125	1449412	+	288	25
BW25113_RS07295	NZ_CP009273.1	1449421	1450167	+	747	23
BW25113_RS07300	NZ_CP009273.1	1450182	1450679	+	498	8
BW25113_RS07305	NZ_CP009273.1	1450687	1451757	+	1071	20
BW25113_RS07310	NZ_CP009273.1	1451754	1452521	+	768	14
BW25113_RS07315	NZ_CP009273.1	1452521	1453309	+	789	10
BW25113_RS07320	NZ_CP009273.1	1453311	1454738	+	1428	9
BW25113_RS07325	NZ_CP009273.1	1454728	1455150	+	423	5
BW25113_RS07330	NZ_CP009273.1	1455150	1456355	+	1206	24
BW25113_RS07335	NZ_CP009273.1	1456382	1457695	+	1314	47
BW25113_RS07340	NZ_CP009273.1	1457796	1458746	+	951	71
BW25113_RS07345	NZ_CP009273.1	1458728	1459318	+	591	99
BW25113_RS25580	NZ_CP009273.1	1459422	1459487	-	66	0
BW25113_RS07350	NZ_CP009273.1	1459649	1462174	+	2526	7
